,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
23737,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,other,,6 - 10 years,8.0,"$90,000 - $100,000",95000.0,4.22,C#; Java; Node.js; Scala,C#; F#; Node.js; ReactJS,Yes,8.0,Employed full-time,Finance / Banking,100-499 employees,5-9 people,1,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Atom; Notepad++; Vim; IntelliJ; Visual Studio,Once a day,1-2 hours per week,Dogs,Windows 7,Yes,"1,001 - 5,000",Once a day,I want to be a better developer,On-the-job training,"I'm not actively looking, but I am open to new opportunities",,The interview process,50%,Show me more live code; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Neutral,Neutral,Agree completely,Disagree completely,Agree somewhat,,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Corporate policies; Unspecific requirements,To get help for my job
23796,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Full-stack Developer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$50,000 - $60,000",55000.0,4.22,C#; SQL; SQL Server,AngularJS; Node.js,Yes,5.0,Employed full-time,Retail,500-999 employees,5-9 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Visual Studio,Multiple times a day,1-2 hours per week,Cats,Windows 7,Yes,I'm not sure,Once a week,To pursue career goals,B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Company stage; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Building something that's significant; Remote working option; Flexible work hours,Taking time off work to interview,20%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Fewer brainteasers,,Agree somewhat,Neutral,Neutral,Neutral,Agree somewhat,Disagree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Agree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,I don't care about this,Inefficient development processes; Poor documentation; Corporate policies; Interacting with stupid people,To get help for my job; To give help to others
23803,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,4.22,CoffeeScript; Java; JavaScript; Scala,Go; Java; Scala,Yes,8.0,Employed full-time,Software Products,10-19 employees,5-9 people,1,Part-time remote,I love my job,Stack Overflow,Sublime; IntelliJ,Multiple times a day,20+ hours per week,Other (please specify),Mac OS X,Yes,101 - 500,Multiple times a day,I'm curious,I'm self-taught; Industry certification program; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Tech stack; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Flexible work hours; Building something that's innovative,Writing cover letters,20%,Be more flexible about interview scheduling; interview_coffee; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Changing requirements; Unspecific requirements,To communicate with others like me
23806,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,4.22,C#; JavaScript; SQL Server,Android; Windows Phone,Yes,7.0,Unemployed,,,,,,,,Notepad++; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Yes,2 - 100,Once a week,I want to be a better developer,"Full-time, intensive program (e.g. ""boot-camp"")",I am actively looking for a new job,Tech stack; Office location,Writing cover letters,50%,Show me more live code; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Neutral,Agree completely,Disagree completely,This is somewhat important,I don't care about this,This is somewhat important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Unrealistic expectations,To receive help on my personal projects
23834,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Ninja; Guru; Expert; Full Stack Overflow Developer; Hacker,Student,Student,11+ years,13.0,"Less than $10,000",5000.0,4.22,"Android; Arduino / Raspberry Pi; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; LAMP; Node.js; PHP; Python; SQL; SQL Server; Swift; Visual Basic; WordPress","Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; MATLAB; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress",Yes,8.0,I'm a student,,,,,,,,Atom; Notepad++; Android Studio; Eclipse; Visual Studio; Visual Studio Code; Xcode,Multiple times a day,20+ hours per week,Dogs,Windows 10,No,101 - 500,Multiple times a day,I'm curious,I'm self-taught; Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company size; Work/life balance; Opportunity for advancement; Job title; Office location; Company reputation; Building something that's significant; Flexible work hours; Building something that's innovative,Writing cover letters,30%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree completely,Agree completely,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,Neutral,Neutral,Disagree somewhat,Agree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Poor infrastructure or equipment; Changing requirements; Unspecific requirements; Limited resources; Trying to be nice,To get help for my job; To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
23841,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Sr. Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.22,AngularJS; C#; CoffeeScript; JavaScript; Node.js; SQL,AngularJS; C#,Yes,6.0,Employed full-time,Media / Advertising,100-499 employees,20+ people,3,,I'm somewhat satisfied with my job,LinkedIn,Visual Studio; Visual Studio Code,Multiple times a day,5-10 hours per week,Cats,Windows 8,Yes,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Industry; Tech stack; Company size; Company culture,Searching for a job that seems interesting,10%,Introduce me to the boss; Show me the space in which I will work,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Interacting with stupid people; Poor infrastructure or equipment; Limited resources,To give help to others; To demonstrate that I'm good at what I do; Beacause I love to learn
23858,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Front-end web developer,Front-end web developer,1 - 2 years,1.5,"$50,000 - $60,000",55000.0,4.22,AngularJS; JavaScript; Node.js,AngularJS; CoffeeScript; JavaScript; Node.js; Python,No,6.0,Employed full-time,Software Products,"10,000+ employees",5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Atom; Emacs; Notepad++,Once a day,Other (please specify),Cats,Mac OS X,Yes,I'm not sure,Multiple times a day,I'm curious,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Company culture; Flexible work hours,Writing my CV and keeping it updated,30%,Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Neutral,Agree completely,Agree completely,Disagree somewhat,Disagree somewhat,Neutral,Agree somewhat,Agree completely,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Corporate policies; Limited resources,To get help for my job; Beacause I love to learn
23865,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Programmer; Rockstar; Ninja,Front-end web developer,Front-end web developer,1 - 2 years,1.5,"$30,000 - $40,000",35000.0,4.22,Android; C#,Android; C#; Objective-C,Yes,6.0,Employed full-time,Software Products,5-9 employees,1-4 people,0,Never,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,Android Studio; Visual Studio; Xamarin,Multiple times a day,None,Dogs,Windows 8,I don't know,101 - 500,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company financials; Company culture,Taking time off work to interview,10%,Show me more live code; Introduce me to the boss; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Disagree completely,Neutral,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Fragile code base; Unrealistic expectations; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
23885,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$110,000 - $120,000",115000.0,4.22,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; MongoDB; Node.js; SQL; SQL Server",AngularJS; C#; JavaScript; MongoDB; Node.js; Redis,Yes,10.0,Employed full-time,Finance / Banking,"1,000-4,999 employees",1-4 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Eclipse; Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Cats,Windows 10,Yes,"1,001 - 5,000",Multiple times a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Quality of colleagues,Writing my CV and keeping it updated,30%,Show me more live code; Introduce me to the team,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,Inefficient development processes; Outdated technologies,To get help for my job; To give help to others; To demonstrate that I'm good at what I do
23886,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Expert,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$70,000 - $80,000",75000.0,4.22,C#; JavaScript; Ruby; SQL; SQL Server; Visual Basic,AngularJS; C#; JavaScript; SQL; SQL Server,No,10.0,Employed full-time,Media / Advertising,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 7,Yes,I'm not sure,Once a week,I'm curious,,"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement,Other (please specify),10%,Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Neutral,Disagree completely,Neutral,Neutral,Disagree completely,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,Fragile code base; Poor scheduling; Unrealistic expectations; Changing requirements; Unspecific requirements,To get help for my job; To receive help on my personal projects
23890,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager,other,,6 - 10 years,8.0,"$70,000 - $80,000",75000.0,4.22,C#; Java; JavaScript; Python; SQL,Arduino / Raspberry Pi; C#; Java; Python,Other (please specify),7.0,Employed full-time,Software Products,100-499 employees,15-20 people,4,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Vim; Eclipse; Visual Studio,Multiple times a day,1-2 hours per week,Cats,Mac OS X,Yes,1,Multiple times a day,I'm curious,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Work/life balance; Quality of colleagues; Company culture,Writing cover letters,50%,Show me more live code; Introduce me to the boss; Introduce me to the team,Star Trek,Neutral,Agree completely,Agree completely,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Outdated technologies; Interacting with non-technical people,To get help for my job; Beacause I love to learn
23891,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Engineer; Programmer; Sr. Developer; Ninja; Guru; Expert; Full-stack Developer; Hacker,Back-end web developer,Back-end web developer,11+ years,13.0,"$60,000 - $70,000",65000.0,4.22,Arduino / Raspberry Pi; C; C++; JavaScript; LAMP; PHP; Python; ReactJS; SQL,Go; MongoDB,Yes,10.0,Employed full-time,Other (please specify),20-99 employees,5-9 people,0,Part-time remote,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Vim; Komodo,Multiple times a day,2-5 hours per week,Cats,Ubuntu,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Office location; Company culture; Flexible work hours,Searching for a job that seems interesting,0%,,,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,Neutral,Neutral,Agree somewhat,Disagree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,Poor scheduling; Unrealistic expectations; Poor documentation; Non-technical management; Poor infrastructure or equipment; Unspecific requirements; Limited resources,To get help for my job; To give help to others; To receive help on my personal projects
23943,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Prefer not to disclose,Developer; Programmer; Rockstar,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23946,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Programmer; Manager,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",11+ years,13.0,"$90,000 - $100,000",95000.0,4.22,AngularJS; JavaScript; Node.js; PHP; Ruby,AngularJS; JavaScript; Node.js; PHP; Ruby,No,7.0,Employed full-time,Internet,5-9 employees,1-4 people,1,Part-time remote,I love my job,Self-employed - I created my own job,Emacs,Once a day,None,Cats,Mac OS X,Yes,I don't have an account,Once a week,To build a specific product I have in mind,I'm self-taught,I am not interested in new job opportunities,,,10%,,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Unspecific requirements; Limited resources; Trying to be nice,To get help for my job
23956,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Programmer; Sr. Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$80,000 - $90,000",85000.0,4.22,C#; JavaScript; SQL Server; Visual Basic,AngularJS; C#; Go; JavaScript; SQL Server; Windows Phone,Yes,8.0,Employed full-time,Healthcare,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Visual Studio,Multiple times a day,None,Dogs,Windows 7,Yes,2 - 100,Multiple times a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Industry; Tech stack; Work/life balance; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours,Taking time off work to interview,10%,Show me more live code; Be more flexible about interview scheduling; interview_coffee,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree somewhat,Neutral,Disagree completely,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base,To get help for my job; Because I can't do my job without it; Beacause I love to learn
23957,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Rockstar; Hacker,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,4.22,C#; JavaScript; PHP; SQL,C++; C#; JavaScript; LAMP; SQL,No,8.0,Employed full-time,Media / Advertising,20-99 employees,1-4 people,0,Never,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Notepad++; PhpStorm; Visual Studio,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",5-10 hours per week,Other (please specify),Windows 10,I don't know,I don't have an account,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Quality of colleagues; Building something that's significant; Remote working option; Flexible work hours,Finding time to search for a job,50%,Show me more live code; Introduce me to the boss; interview_coffee; Show me the space in which I will work,Star Wars,Agree somewhat,Disagree completely,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Agree completely,Disagree somewhat,Disagree somewhat,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Inefficient development processes; Poor scheduling; Unrealistic expectations; Interacting with non-technical people; Trying to be nice,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
23986,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Engineer,Data scientist,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.22,Arduino / Raspberry Pi; JavaScript; Matlab; Python,C++; Haskell; Python; R,Yes,6.0,I'm a student,,,,,,,,Emacs; Vim; PyCharm,Multiple times a day,None,Cats,Other Linux,No,2 - 100,Once a day,I'm curious,I'm self-taught; On-the-job training; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Health insurance; Industry; Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Building something that's innovative,Finding an open job that I'm qualified for,50%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Trek,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Poor documentation; Poor infrastructure or equipment,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
23998,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.22,JavaScript; PHP; SQL,JavaScript; PHP,Yes,5.0,Employed full-time,Government,100-499 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Sublime,Multiple times a day,1-2 hours per week,Cats,Windows 7,Other (please specify),"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement; Company culture,Finding an open job that I'm qualified for,20%,Fewer brainteasers; Prepare me for who I will be speaking with,,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,Neutral,Neutral,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Unrealistic expectations; Interacting with non-technical people; Changing requirements,To give help to others; Because I can't do my job without it; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
24004,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",11+ years,13.0,"$50,000 - $60,000",55000.0,4.22,C#; SQL; SQL Server; Visual Basic,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); F#; SQL; SQL Server",No,9.0,Employed full-time,Finance / Banking,20-99 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 7,I don't know,"5,001 - 10,000",Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement,Taking time off work to interview,30%,Show me more live code; Be more flexible about interview scheduling; Prepare me for who I will be speaking with,,Neutral,Agree completely,Agree completely,Disagree somewhat,Disagree somewhat,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Outdated technologies; Poor infrastructure or equipment; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
24005,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer,Embedded application developer,Embedded application developer,6 - 10 years,8.0,"$60,000 - $70,000",65000.0,4.22,C; Matlab; Python,Android; Arduino / Raspberry Pi; C; C++; Python,Yes,7.0,Employed full-time,Other (please specify),20-99 employees,1-4 people,0,Never,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,Notepad++; Eclipse; IPython / Jupyter,Multiple times a day,None,Other (please specify),Windows 7,Yes,101 - 500,Once a day,To pursue career goals,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Industry; Tech stack; Company size; Company stage; Company financials; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Flexible work hours; Building something that's innovative,Other (please specify),20%,Show me more live code; Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Trek,Neutral,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,Neutral,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Poor infrastructure or equipment; Changing requirements; Unspecific requirements; Limited resources; Trying to be nice,To get help for my job; Because I can't do my job without it; To communicate with others like me; Beacause I love to learn
24009,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Hacker,other,,6 - 10 years,8.0,Rather not say,,4.22,C++; JavaScript; Node.js; Perl; PHP; Python; SQL; SQL Server,C; C++; Go; JavaScript; Node.js; Perl; PHP; Python; SQL; SQL Server,Yes,9.0,Employed full-time,Internet,20-99 employees,1-4 people,0,Part-time remote,I'm somewhat satisfied with my job,Career fair,Vim,Multiple times a day,10-20 hours per week,Dogs,Other Linux,Yes,"1,001 - 5,000",Multiple times a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Building something that's significant; Flexible work hours,Searching for a job that seems interesting,70%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,,,,,,,,,,,,,,,,,,,,,,
24021,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,50-59,54.5,Male,Engineer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$40,000 - $50,000",45000.0,4.22,C#; JavaScript; SQL Server,C#; JavaScript; SQL Server,No,10.0,Employed full-time,Finance / Banking,20-99 employees,1-4 people,0,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Visual Studio,A couple times a week,None,Other (please specify),Windows 10,No,"1,001 - 5,000",Multiple times a day,To keep my skills up to date,B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Company size; Office location,Other (please specify),10%,,Star Trek,Neutral,Agree completely,Neutral,Neutral,Neutral,Disagree completely,Neutral,Disagree completely,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Poor documentation,Because I can't do my job without it
24022,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Sr. Developer,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
